Repo,  URL,  size (KB),  intent functions,  slots,  data sink module,  sinks found
ricardo-hdz/alexa-one-rep-max,  https://github.com/ricardo-hdz/alexa-one-rep-max, 242, 6, 3,  n/a,  n/a
ricardo-hdz/brewers-table,  https://github.com/ricardo-hdz/brewers-table, 358, 6, 1,  n/a,  n/a
woodsb/HistStories,  https://github.com/woodsb/HistStories, 19, 6, 1,  n/a,  n/a
aaronstaves/alexa-fresh-pantry-dressing,  https://github.com/aaronstaves/alexa-fresh-pantry-dressing, 19, 5, 1,  n/a,  n/a
AWzone/MathFacts,  https://github.com/AWzone/MathFacts, 34, 5, 1,  n/a,  n/a
chrisdeely/alexa-pick-flick,  https://github.com/chrisdeely/alexa-pick-flick, 167, 5, 1,  n/a,  n/a
hidace/alexa-travel-advisory,  https://github.com/hidace/alexa-travel-advisory, 722, 5, 1,  n/a,  n/a
omnius45467/Bitwise-Skill,  https://github.com/omnius45467/Bitwise-Skill, 30, 5, 1,  n/a,  n/a
Ponkapa/home_hero_alexa,  https://github.com/Ponkapa/home_hero_alexa, 6463, 5, 3,  n/a,  n/a
k3yb0ardn1nja/alexa-skill-nfl-crime,  https://github.com/k3yb0ardn1nja/alexa-skill-nfl-crime, 73, 4, 0,  n/a,  n/a
Michael-Place/alexa-discogs,  https://github.com/Michael-Place/alexa-discogs, 162, 4, 0,  n/a,  n/a
notch8/calagator-alexa,  https://github.com/notch8/calagator-alexa, 8454, 4, 1,  n/a,  n/a
patfreeman/alexa-app-kegbot,  https://github.com/patfreeman/alexa-app-kegbot, 44, 4, 2,  n/a,  n/a
pettazz/tvrobot-skill,  https://github.com/pettazz/tvrobot-skill, 32, 4, 1,  n/a,  n/a
praveenmenon/NFL,  https://github.com/praveenmenon/NFL, 137, 4, 2,  n/a,  n/a
ryan-marsh/alexa-bookvalue,  https://github.com/ryan-marsh/alexa-bookvalue, 19, 4, 1,  n/a,  n/a
arturoceballos/reminders-skill,  https://github.com/arturoceballos/reminders-skill, 17, 3, 3,  n/a,  n/a
carusocr/alexa_shopper,  https://github.com/carusocr/alexa_shopper, 17, 3, 1,  n/a,  n/a
carusocr/moody,  https://github.com/carusocr/moody, 5, 3, 1,  n/a,  n/a
emanzanoaxa/alexa-tvseries,  https://github.com/emanzanoaxa/alexa-tvseries, 36, 3, 1,  n/a,  n/a
joselaradelamo/alexaTwitter,  https://github.com/joselaradelamo/alexaTwitter, 11, 3, 1,  n/a,  n/a
jpriebe/ruuvu,  https://github.com/jpriebe/ruuvu, 13, 3, 1,  n/a,  n/a
kpdunn/NewThingsJar,  https://github.com/kpdunn/NewThingsJar, 14, 3, 1,  n/a,  n/a
PortlandMagicNight/2016-11-2-Alexa,  https://github.com/PortlandMagicNight/2016-11-2-Alexa, 8281, 3, 1,  n/a,  n/a
praveenmenon/healthcare,  https://github.com/praveenmenon/healthcare, 9, 3, 2,  n/a,  n/a
willblaschko/hey-dad,  https://github.com/willblaschko/hey-dad, 46, 3, 1,  n/a,  n/a
an0nemous/onthemenu,  https://github.com/an0nemous/onthemenu, 2087, 2, 3,  n/a,  n/a
