Repo, URL, size (KB), intent functions, slots, data sink module, sinks found
michaeljhopkins/pandorabots-alexa-skill, https://github.com/michaeljhopkins/pandorabots-alexa-skill, 23, 1, 1, n/a, n/a
michaeljhopkins/urbandictionary-alexa-skill, https://github.com/michaeljhopkins/urbandictionary-alexa-skill, 300, 1, 1, n/a, n/a
Michael-Place/alexa-discogs, https://github.com/Michael-Place/alexa-discogs, 162, 4, 0, n/a, n/a
mickberber/alexaAiportStatusSkill, https://github.com/mickberber/alexaAiportStatusSkill, 18, 1, 1, request-promise, 1
mikecallahan/mindreader, https://github.com/mikecallahan/mindreader, 591, 5, 0, n/a, n/a
mikesae/alexa-chef, https://github.com/mikesae/alexa-chef, 25, 2, 4, n/a, n/a
mramsey24/alexa-big-nerd-ranch, https://github.com/mramsey24/alexa-big-nerd-ranch, 20, 1, 1, request-promise, 1
mrpetrocket/echo-doineedajacket, https://github.com/mrpetrocket/echo-doineedajacket, 16, 1, 1, request-promise, 1
MrShirt/Alexa-Test-Skill, https://github.com/MrShirt/Alexa-Test-Skill, 10, 1, 1, n/a, n/a
mseminatore/alexa-tesla, https://github.com/mseminatore/alexa-tesla, 65, 20, 3, n/a, n/a
mwang370/alexa-quizlet-flashcards, https://github.com/mwang370/alexa-quizlet-flashcards, 110, 17, 1, request-promise, 1
n2cholas/alexa-skill, https://github.com/n2cholas/alexa-skill, 18, 1, 1, request, 3
nathmclean/airpollution, https://github.com/nathmclean/airpollution, 72, 1, 1, request-promise, 1
nbuhay/alexa-helloWorld, https://github.com/nbuhay/alexa-helloWorld, 18, 1, 0, n/a, n/a
ndywicki/alexa-home-lights, https://github.com/ndywicki/alexa-home-lights, 619, 1, 1, n/a, n/a
NickLiffen/AlexaSkill, https://github.com/NickLiffen/AlexaSkill, 13, 2, 1, request, 1
NickLiffen/AlexaSkill-1, https://github.com/NickLiffen/AlexaSkill-1, 17, 3, 1, request, 1
NJLaPrell/alexa-bible-question, https://github.com/NJLaPrell/alexa-bible-question, 21, 2, 1, n/a, n/a
notch8/calagator-alexa, https://github.com/notch8/calagator-alexa, 8454, 4, 1, n/a, n/a
